  0.000000000  0.000000000  0.000000000      10       0
       1       1  -12.012897092   -0.000000000
       1       2  -12.459988936   -0.000000000
       1       3  -12.459989247    0.000000000
       1       4  -12.459989186   -0.000000000
       1       5  -11.344726063   -0.000000000
       1       6  -11.344726408    0.000000000
       1       7  -11.925754505    0.000000000
       1       8  -12.910431726    0.000000000
       1       9  -12.910431268    0.000000000
       1      10  -12.910431736    0.000000000
